 против 	 against 	 preposition 
 сравнивать ; сличать 	 compare 	 verb 
 случаться 	 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 verb 
 абсцесс 	 abscess 	 medicine 
 тритий 	 tritium 	 chemistry 
 изомерия 	 isomer 	 chemical compound 
 поселение 	 colony ; settlement 	 ecology 
 амбар 	 barn 	 agriculture 
 повязка 	 bandage ; patch 	
 груз ; фрахт 	 cargo ; lading ; freight ; load ; loading ; payload ; shipment ; consignment 	 transport 
 Миссисипи 	 Mississippi ; Mississippi River 	
 дифтерия 	 diphtheria 	 medicine 
 льстить 	 flatter ; blandish 	
 звание чемпиона 	 championship ; title 	 sports 
 спор ; разногласия 	 dispute ; difference ; difference of opinion ; conflict 	 psychology 
 антитело 	 antibody 	 medicine 
 видеть во сне ; видеть сны ; мечтать 	 dream 	
 жажда 	 thirst ; thirstiness 	
 ссылка 	 exile ; deportation ; expatriation ; transportation 	
 сканер 	 scanner ; digital scanner ; image scanner 	 device 
 празеодимий 	 praseodymium ; Pr ; atomic number 59 	 chemistry 
 изморозь ; иней 	 frost ; hoar ; hoarfrost ; rime 	 nature 
 кюрий 	 curium ; Cm ; atomic number 96 	 chemistry 
 гадолиний 	 gadolinium ; Gd ; atomic number 64 	 chemistry 
 Гётеборг 	 Goteborg ; Goeteborg ; Gothenburg 	 city 
 фонема 	 phoneme 	 linguistics 
 рений 	 rhenium ; Re ; atomic number 75 	 chemistry 
 дромадер ; одногорбый верблюд 	 Arabian camel ; dromedary ; Camelus dromedarius 	 animal 
 Танганьика 	 Lake Tanganyika ; Tanganyika 	
 угроза 	 menace ; threat 	 ecology 
 короткий рассказ ; анекдот 	 anecdote 	 literature 
 кувшин ; кружка 	 jug 	
 спортивная команда 	 team ; squad 	 society 
 Одиссей 	 Odysseus 	 mythology 
 биение ; пульсация 	 pulse ; pulsation ; heartbeat ; beat 	 medicine 
 хамса ; анчоус 	 anchovy 	 animal 
 лаванда 	 lavender 	 botany 
 руда 	 ore 	 mineral 
 изнасилование 	 rape ; violation ; assault ; ravishment 	 law 
 День Святого Валентина 	 Valentine Day ; Valentine's Day ; Saint Valentine's Day ; St Valentine's Day ; February 14 	
 Эсхил 	 Aeschylus 	
 прокариоты 	 prokaryote ; procaryote 	 being 
 спор ; раздоры 	 quarrel ; wrangle ; row ; words ; run-in ; dustup 	 mechanical_engineering 
 плющ 	 ivy ; common ivy ; English ivy ; Hedera helix 	 plant 
 тополь 	 poplar ; poplar tree 	 flowering tree 
 корсет 	 corset ; girdle ; stays 	 sex 
 благотворительность 	 alms 	
 лилия 	 lily 	 botany 
 лук-порей 	 leek ; scallion ; Allium porrum 	 food 
 шмель 	 bumblebee ; humblebee 	 animal 
 крышка 	 lid 	 object 
 гамма-излучение 	 gamma radiation ; gamma ray 	
 Уатт, Джеймс 	 Watt ; James Watt 	 person 
 Уэллс, Герберт Джордж 	 Wells ; H. G. Wells ; Herbert George Wells 	 person 
 светодиод 	 light-emitting diode ; LED 	 computers 
 буря 	 tempest 	 nature 
 тайфун 	 typhoon 	 nature 
 удача 	 luck ; fortune ; chance ; hazard 	
 спектр 	 spectrum 	 art 
 лестница 	 ladder 	 house 
 возмездие ; отплата ; воздаяние 	 retaliation ; revenge 	
 гольф 	 golf ; golf game 	 travelling 
 ультразвук 	 ultrasound 	 health 
 дубить 	 bark 	 emit 
 виолончель 	 cello ; violoncello 	 music 
 тип 	 type 	 abstract 
 протактиний 	 protactinium ; protoactinium ; Pa ; atomic number 91 	 chemistry 
 вид 	 species 	 nature 
 взаимный 	 reciprocal ; mutual 	 linguistics 
 виноград 	 grape ; grapevine ; grape vine 	 fruit 
 тулий 	 thulium ; Tm ; atomic number 69 	 chemistry 
 утёс 	 cliff ; drop ; drop-off 	 world 
 ужин 	 supper 	
 наследие 	 inheritance ; heritage 	 genetics 
 кинжал 	 dagger ; sticker 	 weapon 
 кандела 	 candle ; candela ; cd ; standard candle 	 mechanical_engineering 
 менделевий 	 mendelevium ; Md ; Mv ; atomic number 101 	 chemical element 
 резня ; бойня 	 abattoir ; butchery ; shambles ; slaughterhouse 	 agriculture 
 Роден, Франсуа Огюст Рене 	 Rodin ; Auguste Rodin ; Francois Auguste Rene Rodin 	 person 
 контакт 	 contact 	 electronics 
 парадокс 	 paradox 	
 теория множеств 	 set theory 	 mathematics 
 совет 	 council 	 society 
 Банжул 	 Banjul ; capital of Gambia 	 capital_city 
 Каунас 	 Kaunas ; Kovna ; Kovno 	 city 
 роль ; действующее лицо 	 character ; role ; theatrical role ; part ; persona 	 career 
 институт 	 institute 	
 коммунизм 	 communism 	
 замечание 	 remark ; comment ; input 	 computers 
 гематология 	 hematology ; haematology 	
 ненадёжный ; опасный 	 dangerous ; unsafe 	 adjective 
 Аравийский полуостров 	 Arabian Peninsula ; Arabia 	
 очевидный ; ясный ; явный 	 apparent ; evident ; manifest ; patent ; plain ; unmistakable 	 logistics 
 сигнал тревоги ; тревога 	 alarm ; alert ; warning signal ; alarum 	 automobiles 
 с трудом ; едва 	 barely ; hardly ; just ; scarcely ; scarce 	
 Йоханнесбург 	 Johannesburg 	
 Бруклин 	 Brooklyn 	
 дубний 	 dubnium ; Db ; hahnium ; element 105 ; atomic number 105 	 chemical element 
 Новая Англия 	 New England 	
 опора ; столп ; колонна 	 column ; pillar 	 architecture 
 лёгкая смерть ; безболезненный уход из жизни 	 euthanasia ; mercy killing 	
 домашнее печенье 	 cookie ; cooky ; biscuit 	 food 
 уклончивость 	 lie ; prevarication 	 communication 
 внук 	 grandson 	 family 
 точка 	 point 	 mathematics 
 Ганзейский союз 	 Hanseatic League 	
 образец ; образчик 	 sample 	 management 
 совершенный ; идеальный 	 ideal 	 mathematics 
 копирование ; имитирование ; подражание 	 caricature ; imitation ; impersonation 	 literature 
 Насер, Гамаль Абдель 	 Nasser ; Gamal Abdel Nasser 	 person 
 Нунавут 	 Nunavut 	
 вечный 	 ageless ; aeonian ; eonian ; eternal ; everlasting ; perpetual ; unending ; unceasing 	 religion 
 певец 	 singer ; vocalist ; vocalizer ; vocaliser 	 profession 
 Западная Австралия 	 Western Australia 	
 декрет ; указ ; приказ 	 decree ; edict ; fiat ; order ; rescript 	 act 
 дело 	 matter ; affair ; thing 	 abstract 
 отечество ; родина 	 fatherland ; homeland ; motherland ; mother country ; country of origin ; native land 	 country2 
 Пиза 	 Pisa 	 city 
 Моравия 	 Moravia 	
 Американский футбол 	 American football ; American football game 	
 ад 	 hell ; hell on earth ; hellhole ; snake pit ; the pits ; inferno 	 part 
 Талмуд 	 Talmud 	
 деревня ; деревушка 	 village ; hamlet 	 society 
 Махабхарата 	 Mahabharata ; Mahabharatam ; Mahabharatum 	
 название ; заглавие 	 title 	 society 
 Порту 	 Porto ; Oporto 	 city 
 полдень ; долгота 	 longitude 	 transport 
 Фриули-Венеция-Джулия 	 Friuli-Venezia Giulia 	
 теория игр 	 game theory ; theory of games 	 mathematics 
 Северо-Западные территории 	 Northwest Territories 	
 Сидящий Бык 	 Sitting Bull 	 person 
 доклад ; сообщение 	 report ; news report ; story ; account ; write up 	 logistics 
 забавный ; потешный ; смешной ; веселый ; развлекательный 	 amusing ; comic ; comical ; funny ; laughable ; mirthful ; risible 	 descriptive_adjectives 
 Мангейм 	 Mannheim 	 city 
 банкет 	 banquet ; feast 	 history 
 везде ; всюду 	 everywhere ; everyplace ; all over 	
 болтовня 	 magazine ; mag 	 object 
 Домициан 	 Domitian ; Titus Flavius Domitianus 	
 игра 	 gambling ; gaming ; play 	
 выставка ; показ ; экспозиция 	 exhibition ; exposition ; expo 	 accumulation 
 Асмэра 	 Asmara ; Asmera 	
 кинетическая энергия 	 kinetic energy ; K.E. 	 physics 
 сеть 	 network ; web 	 electronics 
 капитан 	 captain 	 military 
 Иезуиты 	 Society of Jesus ; Jesuit order 	 order 
 потребитель 	 consumer 	 ecology 
 семиотика 	 semiotics ; semiology 	 linguistics 
 Конгресс 	 Congress ; United States Congress ; U.S. Congress ; US Congress 	
 микроб 	 microbe ; bug ; germ 	 biology 
 шпионство ; шпионаж 	 espionage 	
 оса 	 wasp 	 animal 
 смелость 	 courage ; courageousness ; bravery ; braveness 	 character 
 порок ; пятно ; недостаток ; изъян 	 defect ; fault ; flaw 	 management 
 исправлять 	 correct ; rectify ; right 	 mechanical_engineering 
 гном ; карлик 	 gnome ; dwarf 	 mythology 
 карантин 	 quarantine 	
 лыжный спорт 	 skiing 	 fitness 
 толпа 	 crowd 	 assemblage 
 Архангел Гавриил 	 Gabriel 	
 твёрдость 	 hardness 	 mechanical_engineering 
 взрослый ; зрелый человек ; совершеннолетний 	 adult ; grownup 	 family 
 Люцифер 	 Satan ; Old Nick ; Devil ; Lucifer ; Beelzebub ; the Tempter ; Prince of Darkness 	
 справедливый ; беспристрастный 	 equitable ; just 	 descriptive_adjectives 
 колониализм 	 colonialism 	
 иллюстрация ; рисунок 	 illustration 	 art 
 головоногие 	 cephalopod ; cephalopod mollusk 	 animal 
 генератор 	 generator ; source ; author 	 profession 
 третейский судья ; арбитр 	 referee ; ref 	 profession 
 табу 	 taboo ; tabu 	 sex 
 фараон 	 Pharaoh ; Pharaoh of Egypt 	
 полицейский ; полисмен 	 policeman ; police officer ; officer 	 profession 
 Матисс, Анри 	 Matisse ; Henri Matisse ; Henri Emile Benoit Matisse 	 person 
 опухоль 	 tumor ; tumour ; neoplasm 	 medicine 
 горняк 	 miner ; mineworker 	 profession 
 Большой Пёс 	 Canis Major ; Great Dog 	 constellation 
 Далай-лама 	 Dalai Lama ; Grand Lama 	
 Миллер, Артур 	 Miller ; Arthur Miller 	 person 
 орнитология 	 ornithology 	 ornithology 
 приходский священник ; пастор 	 curate ; minister of religion ; minister ; parson ; pastor ; rector 	 profession 
 кактус 	 cactus 	 plant 
 сторонник 	 disciple ; adherent 	 religion 
 экспрессионизм 	 expressionism 	
 герцог 	 duke 	
 противник ; враг 	 adversary ; antagonist ; opponent ; opposer ; resister 	 individual 
 орган 	 organ 	 anatomy 
 обязательство 	 duty ; responsibility ; obligation 	 accounting 
 изучать ; исследовать 	 study 	 verb 
 аорта 	 aorta 	 anatomy 
 козерог 	 Capricornus ; Capricorn 	 constellation 
 W 	 W ; w ; double-u 	 alphabetic character 
 законодательная власть 	 legislature ; legislative assembly ; legislative body ; general assembly ; law-makers 	
 брошюра 	 booklet ; brochure ; folder ; leaflet ; pamphlet 	 travelling 
 заём 	 loan 	 accounting 
 Ганг 	 Ganges ; Ganges River 	
 скучный ; наводящий тоску 	 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 adjective 
 Хараре 	 Harare ; Salisbury ; capital of Zimbabwe 	 capital_city 
 Габсбурги 	 Habsburg ; Hapsburg 	
 Остин 	 Austin ; capital of Texas 	 capital_city 
 палиндром 	 palindrome 	 linguistics 
 Баренцево море 	 Barents Sea 	
 эритроциты 	 red blood cell ; RBC ; erythrocyte 	
 рибосома 	 ribosome 	 biology 
 подводная скала ; риф 	 reef 	 nature 
 льстивый ; вкрадчивый ; елейный 	 greasy ; oily ; sebaceous ; oleaginous 	
 впадина 	 pit ; cavity 	
 иногда ; по временам 	 sometimes 	 adverb 
 квазар 	 quasar ; quasi-stellar radio source 	 astronomy 
 Сан-Диего 	 San Diego 	
 хронология 	 chronology 	 literature 
 скорпион 	 Scorpius ; Scorpio 	 constellation 
 Японское море 	 Sea of Japan ; East Sea 	
 Тигр 	 Tigris ; Tigris River 	
 Ксенофан 	 Xenophanes 	
 Малая Медведица 	 Little Bear ; Ursa Minor 	 constellation 
 ядро 	 nucleus 	 linguistics 
 заход солнца ; закат 	 sunset ; sundown 	 nature 
 машиностроение 	 mechanical engineering 	
 сгибать 	 bend ; flex 	 mechanical_engineering 
 диспрозий 	 dysprosium ; Dy ; atomic number 66 	 chemistry 
 болото 	 marsh ; marshland ; fen ; fenland 	 nature 
 взрыв 	 explosion ; burst 	 astronomy 
 гемоглобин 	 hemoglobin ; haemoglobin ; Hb 	
 1890-е 	 nineties ; 1890s 	
 цикл 	 cycle ; rhythm ; round 	 mathematics 
 избиение 	 slaughter ; massacre ; mass murder ; carnage ; butchery 	 military 
 розарий ; сад или грядка с розами 	 rosary ; prayer beads 	 religion 
 недолёт 	 subtraction ; minus 	 mathematics 
 бесконечность 	 eternity ; infinity 	
 песчаник 	 sandstone 	 geology 
 ястреб 	 hawk 	 animal 
 кристалл 	 crystal 	 physics 
 1750-е 	 1750s 	
 каучук 	 rubber ; natural rubber ; India rubber ; gum elastic ; caoutchouc 	 mechanical_engineering 
 кобыла 	 mare ; female horse 	
 почтовый индекс 	 ZIP code ; ZIP ; postcode ; postal code 	
 1850-е 	 1850s 	
 ладан ; фимиам 	 incense 	 chemical compound 
 радушный ; добрый ; сердечный ; приветливый 	 affable ; amiable ; cordial ; genial 	 character 
 дикая утка 	 mallard ; Anas platyrhynchos 	 animal 
 теплица ; оранжерея 	 greenhouse ; nursery ; glasshouse 	 house 
 Астровые 	 Compositae ; family Compositae ; Asteraceae ; family Asteraceae ; aster family 	
 письменный стол 	 desk 	 house 
 Йейтс, Уильям Батлер 	 Yeats ; William Butler Yeats ; W. B. Yeats 	 person 
 ксилофон 	 marimba ; xylophone 	 music 
 приводить 	 bring ; get ; convey ; fetch 	 channel 
 гнев ; ярость 	 wrath ; anger ; ire ; ira 	
 удобрение ; навоз 	 manure 	 agriculture 
 вращать(ся) 	 revolve ; go around ; rotate 	 turn 
 губная помада 	 lipstick ; lip rouge 	
 нумизматика 	 numismatics ; numismatology ; coin collecting ; coin collection 	 aggregation 
 укромный уголок ; закоулок 	 corner ; nook 	 area 
 кислота 	 lysergic acid diethylamide ; LSD 	
 тимьян ; чабрец 	 thyme 	
 К2 	 K2 ; Godwin Austen ; Mount Godwin Austen ; Dapsang 	
 1820-е 	 1820s 	
 Райт, Фрэнк Ллойд 	 Wright ; Frank Lloyd Wright 	 person 
 Острава 	 Ostrava 	
 гудок 	 horn 	
 холестерин 	 cholesterol ; cholesterin 	 medicine 
 салат-латук 	 lettuce 	 herb 
 выход 	 exit ; issue ; outlet ; way out 	
 сахарный тростник	 sugarcane ; sugar cane ; Saccharum officinarum 	
 Кавказ 	 Caucasus ; Caucasus Mountains 	
 фундаментализм 	 fundamentalism 	
 мороженое 	 ice cream ; icecream 	
 кимоно 	 kimono 	
 Книга Исход 	 Exodus ; Book of Exodus 	
 пихта ; ель 	 fir ; fir tree ; true fir 	 coniferous tree 
 джип 	 jeep ; landrover 	 machine 
 танцевать 	 dance ; trip the light fantastic ; trip the light fantastic toe 	 verb 
 фигляр ; шут ; буффон 	 clown ; buffoon ; goof ; goofball ; merry andrew 	 profession 
 Перикл 	 Pericles 	
 принимать ; соглашаться 	 accept ; admit ; take ; take on 	 have 
 послушный ; покорный 	 obedient 	 descriptive_adjectives 
 отвращение ; антипатия 	 antipathy ; aversion ; distaste 	 mechanical_engineering 
 Рахманинов, Сергей Васильевич 	 Rachmaninoff ; Sergei Rachmaninoff ; Sergei Vasilievich Rachmaninoff ; Rachmaninov ; Sergei Rachmaninov ; Sergei Vasilievich Rachmaninov 	 person 
 звучать 	 sound 	 physics 
 выгоду 	 acquire ; win ; gain 	 get 
 Полк, Джеймс Нокс 	 Polk ; James Polk ; James K. Polk ; James Knox Polk ; President Polk 	 person 
 затерять 	 lose 	 verb 
 Найтингейл, Флоренс 	 Nightingale ; Florence Nightingale ; Lady with the Lamp 	 person 
 овчина ; пергамент 	 parchment ; sheepskin ; lambskin 	
 Франклин, Бенджамин 	 Franklin ; Benjamin Franklin 	 person 
 физическая химия 	 physical chemistry 	
 педаль 	 pedal ; treadle ; foot pedal ; foot lever 	
 Квинсленд 	 Queensland 	
 находить 	 find ; regain 	 verb 
 клоп 	 bedbug ; bed bug ; chinch ; Cimex lectularius 	 animal 
 сосед 	 neighbor ; neighbour 	 family 
 Тафт, Уильям 	 Taft ; William Howard Taft ; President Taft 	 person 
 биоразнообразие 	 biodiversity 	 nature 
 Шелли, Мэри Уолстонкрафт 	 Shelley ; Mary Shelley ; Mary Wollstonecraft Shelley ; Mary Godwin Wollstonecraft Shelley 	 person 
 усик ; щупальце 	 antenna ; feeler 	
 риторика 	 rhetoric 	 literature 
 Соломон 	 Solomon 	 religion 
 зажигалка 	 lighter ; light ; igniter ; ignitor 	 device 
 Стокер, Брэм 	 Stoker ; Bram Stoker ; Abraham Stoker 	 person 
 Рубенс, Питер Пауль 	 Rubens ; Peter Paul Rubens ; Sir Peter Paul Rubens 	 person 
 сокращение 	 abbreviation 	 linguistics 
 получать 	 receive ; have 	 verb 
 Хошимин 	 Ho Chi Minh City ; Saigon 	 city 
 объяснять 	 explain ; explicate 	 verb 
 музыкальный инструмент 	 musical instrument ; instrument 	 device 
 Скорсезе, Мартин 	 Scorsese ; Martin Scorsese 	
 Кигали 	 Kigali ; capital of Rwanda 	 capital_city 
 Гарибальди, Джузеппе 	 Garibaldi ; Giuseppe Garibaldi 	 person 
 Европейский центральный банк 	 European Central Bank 	
 похороны 	 funeral 	
 аплодисменты ; рукоплескания 	 applause ; hand clapping ; clapping 	
 Бритва Оккама 	 Occam's Razor ; Ockham's Razor ; principle of parsimony ; law of parsimony 	 rule 
 клетка 	 cage ; coop 	 object 
 Пизанская башня 	 Leaning Tower ; Leaning Tower of Pisa 	
 полигамия 	 polygamy 	 sex 
 хозяйство ; экономика 	 economy ; economic system 	 business 
 хоронить 	 bury ; entomb ; inhume ; inter ; lay to rest 	 lay 
 переводить 	 translate ; interpret ; render 	 linguistics 
 жизнь 	 life 	 being 
 полк 	 regiment 	 military 
 сезам ; кунжут 	 sesame ; benne ; benni ; benny ; Sesamum indicum 	 botany 
 настоящее время ; сейчас 	 now 	 time 
 полушарие 	 hemisphere 	 astronomy 
 признак ; показатель 	 sign ; mark 	 linguistics 
 граница 	 frontier 	 transport 
 область ; сфера ; участок 	 area ; country 	 mathematics 
 альбедо 	 albedo ; reflective power 	 astronomy 
 бочка ; бочонок 	 barrel ; cask 	 mechanical_engineering 
 планктон 	 plankton 	 nature 
 Эратосфен 	 Eratosthenes 	
 штык 	 bayonet 	 military 
 Гестия 	 Hestia 	 mythology 
 рюкзак 	 backpack ; back pack ; knapsack ; packsack ; rucksack ; haversack 	 clothes 
 бриллиант весом в 100 карат и более ; алмаз 	 paragon ; idol ; perfection ; beau ideal 	
 базилик 	 basil 	 herb 
 оползень ; обвал 	 landslide ; landslip 	 geology 
 Гимн США 	 The Star-Spangled Banner 	
 отпускать грехи ; исповедовать 	 confess ; squeal ; fink 	
 Брест 	 Brest 	 city 
 Нерва 	 Nerva ; Marcus Cocceius Nerva 	
 хижина 	 cabin 	
 закваска ; дрожжи 	 yeast ; barm 	 substance 
 камера 	 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 house 
 собрание 	 meeting ; group meeting 	 assemblage 
 гороскоп 	 horoscope 	
 столбняк 	 tetanus ; lockjaw 	 medicine 
 Гаити 	 Hispaniola ; Haiti ; Hayti 	
 паразит 	 parasite 	 nature 
 календарь 	 almanac 	 literature 
 Коломбо 	 Colombo ; capital of Sri Lanka 	 capital_city 
 Варна 	 Varna 	
 доблесть ; храбрость 	 heroism ; gallantry ; valor ; valour ; valorousness ; valiance ; valiancy 	 history 
 автобиография 	 autobiography 	 literature 
 ассоциировать 	 connect ; link ; tie ; link up 	 computers 
 приготовление ; подготовка 	 preparation ; readying 	 activity 
 решать(ся) 	 decide ; make up one's mind ; determine 	 verb 
 псевдоним 	 pseudonym ; anonym ; nom de guerre 	 linguistics 
 политикан 	 politician ; politico ; pol ; political leader 	 profession 
 поэма 	 poem ; verse form 	 art 
 резерв ; запас 	 store ; stock ; fund 	 transport 
 жабры 	 gill ; branchia 	 anatomy 
 Манагуа 	 Managua ; capital of Nicaragua ; Nicaraguan capital 	 capital_city 
 людской ; человеческий 	 human 	 adjective 
 эпизод 	 episode 	 section 
 Внутренняя Монголия 	 Inner Mongolia ; Nei Monggol 	
 однопроходные 	 monotreme ; egg-laying mammal 	 animal 
 двойной 	 double ; doubled ; twofold ; two-fold 	
 Фишер, Роберт Джеймс 	 Fischer ; Bobby Fischer ; Robert James Fischer 	
 фа 	 farad ; F 	 electronics 
 страшный ; ужасный 	 awful ; dire ; direful ; dread ; dreaded ; dreadful ; fearful ; fearsome ; frightening ; horrendous ; horrific ; terrible 	
 меридиан 	 meridian ; line of longitude 	 astronomy 
 изображать ; рисовать 	 describe ; depict ; draw 	 verb 
 тройка ; три ; триада 	 three ; 3 ; III ; trio ; threesome ; tierce ; leash ; troika ; triad ; trine ; trinity ; ternary ; ternion ; triplet ; tercet ; terzetto ; trey ; deuce-ace 	 mathematics 
 эклиптика 	 ecliptic 	 astronomy 
 лицензия 	 license ; licence ; permit 	 accounting 
 субсидия 	 subsidy 	 accounting 
 тропики 	 Torrid Zone ; tropical zone ; tropics 	
 Гонолулу 	 Honolulu ; capital of Hawaii ; Hawaiian capital 	 capital_city 
 меню 	 menu ; bill of fare ; card ; carte du jour ; carte 	 object 
 гамма 	 gamma 	 mathematics 
 перегонка 	 distillation ; distillment 	 action 
 адвокат ; барристер 	 barrister 	 profession 
 ярд 	 yard ; pace 	 real_estate 
 астронавтика ; космонавтика 	 aeronautics ; astronautics 	
 диплом 	 diploma ; sheepskin 	 career 
 описание ; изображение 	 portrayal ; portraiture ; portrait 	 art 
 Рамсес II 	 Rameses II ; Ramesses II ; Ramses II ; Rameses the Great ; Ramesses the Great ; Ramses the Great 	
 сосать 	 suck 	
 водолаз ; аквалангист 	 diver ; frogman ; underwater diver 	 animal 
 перевоз ; переправа ; паром 	 ferry ; ferryboat 	 transport 
 логический 	 logical 	
 воин 	 warrior 	 history 
 Война Судного дня 	 Arab-Israeli War ; Yom Kippur War 	
 маргарин 	 margarine ; margarin ; oleo ; oleomargarine ; marge 	
 прямой 	 direct 	 manufacturing 
 Помпеи 	 Pompeii 	 city 
 учение о ядах и отравлениях ; токсикология 	 toxicology 	
 Янцзы 	 Chang Jiang ; Changjiang ; Chang ; Yangtze ; Yangtze River ; Yangtze Kiang 	
 юнец ; паренёк 	 child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling 	 family 
 мораль 	 morality 	 quality 
 консультация 	 consultation 	
 склад ; пакгауз 	 storehouse ; depot ; entrepot ; storage ; store 	 transport 
 виновный ; винный 	 guilty 	 character 
 оккупант 	 resident ; occupant ; occupier 	
 злодей ; преступник 	 criminal ; felon ; crook ; outlaw ; malefactor 	 law 
 волокно 	 fiber ; fibre 	 material 
 болезнь альцгеймера 	 Alzheimer's disease ; Alzheimer's ; Alzheimers 	
 Тунис 	 Tunis ; capital of Tunisia 	 capital_city 
 футбол ; пешеход 	 pedestrian ; walker ; footer 	 police 
 мудрость 	 wisdom ; sapience 	 character 
 электрическое поле 	 electric field 	 physics 
 Базель 	 Basel ; Basle ; Bale 	 city 
 международный ; интернациональный 	 international 	 adjective 
 дейтерий ; тяжёлый водород 	 deuterium ; heavy hydrogen 	 chemistry 
 программист 	 programmer ; computer programmer ; coder ; software engineer 	 profession 
 пророк 	 prophet 	
 свойство 	 property ; attribute ; dimension 	 linguistics 
 пыл ; рвение ; жар 	 ardor ; ardour ; elan ; zeal 	 character 
 Борхес, Хорхе Луис 	 Borges ; Jorge Borges ; Jorge Luis Borges 	 person 
 Харрисон, Джордж 	 Harrison ; George Harrison 	 person 
 лесбиянка 	 lesbian ; tribade ; gay woman 	 sex 
 человек, уклоняющийся от истины ; лживый 	 liar ; prevaricator 	
 слой 	 layer ; bed 	 artifact 
 Числа Фибоначчи 	 Fibonacci number 	 mathematics 
 спор 	 argument ; argumentation ; debate 	 mathematics 
 признание 	 confession 	 law 
 Аральское море 	 Lake Aral ; Aral Sea 	
 абсолютный нуль температуры 	 absolute zero 	 physics 
 Уральские горы 	 Urals ; Ural Mountains 	
 белый карлик 	 white dwarf ; white dwarf star 	 astronomy 
 леденец 	 candy ; confect 	 valentines_day 
 битум 	 bitumen 	 substance 
 Минотавр 	 Minotaur 	 mythology 
 соссюр, фердинанд де 	 de Saussure ; Ferdinand de Saussure ; Saussure 	 person 
 Стивенсон, Роберт Льюис 	 Stevenson ; Robert Louis Stevenson ; Robert Louis Balfour Stevenson 	 person 
 позитрон 	 positron ; antielectron 	
 Китообразные 	 Cetacea ; order Cetacea 	 animal order 
 длина 	 length 	 linguistics 
 блин ; лепёшка ; оладья 	 pancake ; battercake ; flannel cake ; flannel-cake ; flapcake ; flapjack ; griddlecake ; hotcake ; hot cake 	
 Одра 	 Oder ; Oder River 	
 корь 	 measles ; rubeola ; morbilli 	 disease 
 тундра 	 tundra 	 nature 
 пульсар 	 pulsar 	 astronomy 
 Змееносец 	 Ophiuchus 	 constellation 
 адвокат ; защитник 	 advocate ; counsel ; counselor ; counsellor ; counselor-at-law ; pleader 	 profession 
 обед 	 dinner 	 health 
 рассудок ; ум ; интеллект 	 intelligence 	 career 
 Арабы 	 Arab ; Arabian 	
 англичане ; британцы 	 British ; British people ; Brits 	 country2 
 пиломатериалы ; брёвна 	 lumber ; timber 	 construction 
 каникулы 	 vacation ; holiday 	 travelling 
 химик 	 chemist 	 profession 
 премьер-министр 	 Prime Minister ; PM ; premier 	
 Унсет, Сигрид 	 Undset ; Sigrid Undset 	 person 
 притворство ; лицемерие 	 hypocrisy 	
 Локи 	 Loki 	 mythology 
 Волосы Вероники 	 Coma Berenices 	 constellation 
 Гольдман, Эмма 	 Goldman ; Emma Goldman 	 person 
 Мак-Кинли, Уильям 	 McKinley ; William McKinley ; President McKinley 	 person 
 пепельница 	 ashtray 	
 завивание 	 curling 	
 иудей 	 Jew ; Hebrew ; Israelite 	 individual 
 измена ; вероломство ; предательство 	 treachery ; betrayal ; treason ; perfidy 	 law 
 кровосмешение 	 incest 	 sex 
 Конго 	 Congo ; Congo River ; Zaire River 	
 маршрутизатор 	 router 	 computers 
 линза ; чечевица ; оптическое стекло 	 lens ; lense ; lens system 	 device 
 ботанический сад 	 arboretum ; botanical garden 	
 быть ; существовать 	 exist ; be 	 verb 
 линейка 	 rule ; ruler 	 measure 
 достигать 	 achieve ; accomplish ; attain ; reach 	 verb 
 ПЗУ 	 read-only memory ; ROM ; read-only storage ; fixed storage 	 computers 
 Бихар 	 Bihar 	
 Куала-Лумпур 	 Kuala Lumpur 	
 отвлечённый ; абстрактный 	 abstract 	 art 
 эскиз ; набросок 	 sketch ; study 	 art 
 надкрылье 	 shard ; sherd ; fragment 	 geology 
 Абель, Нильс Хенрик 	 Abel ; Niels Abel ; Niels Henrik Abel 	 person 
 поступок ; действие 	 action 	 mathematics 
 обильный ; изобилующий 	 abundant 	 descriptive_adjectives 
 Иокогама 	 Yokohama 	 city 
 лопата 	 shovel 	 object 
 мудрость 	 wisdom 	 character 
 Филлмор, Миллард 	 Fillmore ; Millard Fillmore ; President Fillmore 	 person 
 Гент 	 Gent ; Gand ; Ghent 	 city 
 сахарная болезнь ; диабет 	 diabetes 	 medicine 
 Линц 	 Linz ; Lentia 	
 эпидемиология 	 epidemiology 	
 бонсай 	 bonsai 	 tree 
 кончина ; смерть 	 death ; dying ; demise 	 end 
 Чунцин 	 Chongqing ; Chungking 	 city 
 Гоа 	 Goa 	
 точка 	 pixel ; pel ; picture element 	 computers 
 товарный склад 	 warehouse ; storage warehouse 	 transport 
 поршень 	 piston ; plunger 	 mechanical_engineering 
 шампанское 	 champagne ; bubbly 	 food 
 Иоанн Креститель 	 John the Baptist ; St. John the Baptist 	 religion 
 кукла ; марионетка 	 puppet ; marionette 	 figure 
 грязь ; неопрятность 	 dirt ; filth ; grime ; soil ; stain ; grease ; grunge 	
