 tai 	 against 	 preposition 
 oroshi 	 grater 	
 hyo_honchu_shutsu 	 sampling 	 statistics 
 shutoku 	 acquisition 	 linguistics 
 to_han 	 burglary 	 law 
 kanjo_ 	 count ; counting ; numeration ; enumeration ; reckoning ; tally 	 mathematics 
 fujo_ 	 filth ; filthiness ; foulness ; nastiness 	
 ko_bashii 	 fragrant 	 garden 
 wakuran 	 bewilderment ; obfuscation ; puzzlement ; befuddlement ; mystification ; bafflement ; bemusement 	
 omotegamae 	 facade ; frontage ; frontal 	 art 
 shisetsu 	 facility ; installation 	 artifact 
 isho_ 	 garment 	 fashion 
 imashime 	 caution ; caveat 	
 kenryu_kei 	 galvanometer 	 device 
 ritsu 	 rate 	 transport 
 hyo_genkeishiki 	 encoding ; encryption 	 mathematics 
 shigeki 	 stimulation ; stimulus ; stimulant ; input 	 manufacturing 
 kasso_ro 	 runway 	
 nagoyaka 	 harmonious 	 character 
 tamago 	 spawn 	
 soshi 	 obstruction ; obstructor ; obstructer ; impediment ; impedimenta 	 structure 
 efude 	 paintbrush 	
 asshuku 	 compaction ; compression ; concretion ; densification 	 computers 
 keikotsu 	 tibia ; shinbone ; shin bone ; shin 	 anatomy 
 jiko_ 	 item 	 object 
 ko_ho 	 campaigning ; candidacy ; candidature ; electioneering ; political campaign 	 cause 
 omeshi 	 summons ; process 	 law 
 dangen 	 assertion ; averment ; asseveration 	
 sharakusai 	 brash ; cheeky ; nervy 	
 bakuro 	 exposure 	 photography 
 bo_gui 	 pile ; spile ; piling ; stilt 	
 futei 	 infidelity ; unfaithfulness 	 quality 
 kagakuryo_ho_ 	 chemotherapy 	 medicine 
 ikusei 	 breeding ; bringing up ; fostering ; fosterage ; nurture ; raising ; rearing ; upbringing 	
 ko_shikan 	 legation ; legateship 	 berth 
 cho_i 	 condolence ; commiseration 	
 shinriteki 	 psychological 	
 yakkosan 	 guy ; cat ; hombre ; bozo 	 man 
 tsudzuki 	 succession ; sequence 	 linguistics 
 kumitate 	 framework ; fabric 	 art 
 guro_ 	 ridicule 	
 aragyo_ 	 austerity ; asceticism ; nonindulgence 	 religion 
 koritsushugi 	 isolationism 	
 saishi 	 festival ; fete 	
 gaibun 	 repute ; reputation 	 management 
 chikuonki 	 gramophone ; acoustic gramophone 	 device 
 kibi 	 nuance ; nicety ; shade ; subtlety ; refinement 	 art 
 don 	 dense ; dim ; dull ; dumb ; obtuse ; slow 	
 senpei 	 vanguard ; van 	 military 
 tanaoroshi 	 inventory ; inventorying ; stocktaking ; stock-taking 	 career 
 goshoku 	 misprint ; erratum ; typographical error ; typo ; literal error ; literal 	 linguistics 
 chakui 	 conception 	 biology 
 keiyaku 	 covenant ; compact ; concordat 	 transport 
 setsudan 	 amputation 	 operation 
 yo_jin 	 caution ; cautiousness ; carefulness 	
 sugosu 	 spend ; pass 	 verb 
 jasui 	 distrust ; distrustfulness ; mistrust 	 trait 
 teisatsu 	 reconnaissance ; reconnaissance mission 	 military 
 teppai 	 abolition ; abolishment 	 ending 
 kadokadoshii 	 angular ; angulate 	
 kabi 	 pomp ; eclat 	
 tsumu 	 pick ; pluck ; cull 	 verb 
 seika 	 confectionery ; confectionary ; candy store 	 store 
 setsugo_ 	 joining ; connection ; connexion 	 mechanical_engineering 
 ninsho_ 	 authentication ; certification 	 logistics 
 so_ju_ 	 manipulation ; use 	 manufacturing 
 hokan 	 hands ; custody 	
 kutsurogeru 	 relax ; unbend 	 fitness 
 ho_shu_ 	 recompense 	
 tsunagari 	 connection ; connexion ; link 	 biology 
 hiyo_ 	 expense ; disbursal ; disbursement 	 accounting 
 ho_hei 	 artilleryman ; cannoneer ; gunner ; machine gunner 	 man 
 gasso_dan 	 ensemble 	 art 
 shingaisaseru 	 terrify ; terrorize ; terrorise 	
 shukuto_ 	 blessing ; benediction 	 religion 
 kiso 	 indictment ; bill of indictment 	 instrument 
 gisho_ 	 perjury ; bearing false witness ; lying under oath 	 law 
 so_ko_ 	 draft ; rough drawing 	 study 
 rinten 	 rotation ; rotary motion 	 physics 
 dankai 	 degree ; level ; stage ; point 	 mathematics 
 metta 	 heedless ; unheeding 	 descriptive_adjectives 
 kibishii 	 stern ; strict ; exacting 	 descriptive_adjectives 
 engai 	 cupola 	
 ogamu 	 idolize ; idolise ; worship ; hero-worship ; revere 	
 oneko 	 tom ; tomcat 	
 kotsusosho_sho_ 	 osteoporosis 	 pathology 
 nikibi 	 pimple ; hickey ; zit 	
 majirimono 	 impurity ; dross 	 chemistry 
 kikaiteki 	 mechanical 	 physics 
 kaimetsu 	 annihilation ; obliteration 	
 karitoru 	 reap ; harvest ; glean 	 nature 
 hyakunichizeki 	 whooping cough ; pertussis 	 medicine 
 enban 	 discus ; saucer 	 sports 
 senzaino_ryoku 	 potential ; potentiality ; potency 	 career 
 toppako_ 	 rupture ; breach ; break ; severance ; rift ; falling out 	 military 
 kyokuchi 	 perfection ; flawlessness ; ne plus ultra 	
 jinmashin 	 urtication ; urticaria ; hives ; nettle rash 	 medicine 
 toishi 	 whetstone 	
 funjo_ 	 disturbance ; perturbation ; upset 	
 osen 	 contamination ; taint 	 ecology 
 kusachi 	 grassland 	 agriculture 
 ko_do_ 	 auditorium 	 area 
 kanko_ 	 publication 	 work 
 gai 	 stubbornness ; bullheadedness ; obstinacy ; obstinance ; pigheadedness ; self-will 	
 kansei 	 dryness ; waterlessness ; xerotes 	 condition 
 jiki 	 china 	
 iso_ 	 transportation ; transport ; transfer ; transferral ; conveyance 	 transport 
 sawa 	 dale 	
 denpa 	 propagation ; extension 	
 ku_kyo 	 void ; vacancy ; emptiness ; vacuum 	
 hansoku 	 irregularity ; unregularity 	 quality 
 rinken 	 foray ; raid ; maraud 	 mechanical_engineering 
 aibiki 	 tryst ; rendezvous 	
 takuso_ 	 consignment 	 logistics 
 kaisen 	 circuit ; electrical circuit ; electric circuit 	 device 
 rinpa 	 lymph 	 medicine 
 shinro 	 course ; line 	 statistics 
 ko_yo_ 	 descendants ; posterity 	
 kaneai 	 poise 	 ecology 
 hakaiteki 	 destructive 	 descriptive_adjectives 
 usabarashi 	 distraction ; misdirection 	
 rinseki 	 presence 	 art 
 michinaranu 	 immoral 	
 mamahaha 	 stepmother 	
 rakkasei 	 peanut ; earthnut ; goober ; goober pea ; groundnut ; monkey nut 	 vegetable 
 idetachi 	 kit ; outfit 	 accounting 
 ken'insha 	 tractor 	 device 
 kanpu 	 adulteress ; fornicatress ; hussy ; jade ; loose woman ; slut ; strumpet ; trollop 	 sex 
 muhitsu 	 illiteracy ; analphabetism 	
 ukenagasu 	 hedge ; fudge ; evade ; put off ; circumvent ; parry ; elude ; skirt ; dodge ; duck ; sidestep 	 economics 
 gifu 	 stepfather 	
 kashiraji 	 initial 	 alphabetic character 
 ooshii 	 heroic 	 descriptive_adjectives 
 wareme 	 rip ; rent ; snag ; split ; tear 	 construction 
 daibo 	 godmother 	 family 
 han'i 	 extent 	 mechanical_engineering 
 saihyo_ka 	 reappraisal ; revaluation ; review ; reassessment 	 career 
 futtei 	 dearth ; paucity 	 management 
 goko_ 	 aura ; aureole ; halo ; nimbus ; glory ; gloriole 	 astronomy 
 hakugaku 	 eruditeness ; erudition ; learnedness ; learning ; scholarship ; encyclopedism ; encyclopaedism 	 career 
 gekiretsu 	 ferocity ; fierceness ; furiousness ; fury ; vehemence ; violence ; wildness 	
 kagirinai 	 unlimited ; limitless 	
 yadonushi 	 host ; innkeeper ; boniface 	 profession 
 fukameru 	 deepen 	
 shishaku 	 viscount 	
 enbo_ 	 foresight ; foresightedness ; foresightfulness 	
 rippousha 	 legislator 	 profession 
 ko_sakusha 	 agriculturist ; agriculturalist ; cultivator ; grower ; raiser 	 agriculture 
 iso_ro_ 	 leech ; parasite ; sponge ; sponger 	 biology 
 sotsugyo_sei 	 alumnus ; alumna ; alum ; graduate ; grad 	
 hori 	 constable 	 profession 
 neijin 	 flatterer ; adulator 	
 kenju 	 cynic ; faultfinder 	
 waritsuke 	 allotment ; apportionment ; apportioning ; allocation ; parceling ; parcelling ; assignation 	 marketing 
 o_shu_ 	 capture ; gaining control ; seizure 	 history 
 fuseikaku 	 inaccuracy 	 quality 
 kaikakusha 	 reformer ; reformist ; crusader ; social reformer ; meliorist 	
 uranaisha 	 forecaster ; predictor ; prognosticator ; soothsayer 	 mythology 
 kazamidori 	 opportunist ; self-seeker 	 character 
 dai 	 base ; pedestal ; stand 	 photography 
 yatoiireru 	 hire ; engage ; employ 	
 zangai 	 wreckage 	 military 
 anma 	 masseur 	 profession 
 shusendo 	 niggard ; skinflint ; scrooge ; churl 	
 fukimakuru 	 boast ; tout ; swash ; shoot a line ; brag ; gas ; blow ; bluster ; vaunt ; gasconade 	
 aza 	 birthmark ; nevus 	
 to_tetsushita 	 crystalline ; crystal clear ; limpid ; lucid ; pellucid ; transparent 	
 yashi 	 mountebank ; charlatan 	
 josho_ 	 hostess 	 profession 
 kageki 	 opera 	 music 
 reikyu_sha 	 hearse 	 transport 
 kichi 	 brain ; brainpower ; learning ability ; mental capacity ; mentality ; wit 	 psychology 
 mo_cho_ 	 cecum ; caecum ; blind gut 	 anatomy 
 gunshi 	 tactician 	 profession 
 senko_ 	 perforation 	
 keizokuteki 	 continuous ; uninterrupted 	 manufacturing 
 chochiku 	 savings ; nest egg 	 finance 
 arakawa 	 husk 	
 kabi 	 mildew 	 nature 
 seishoku 	 weaving 	
 ho_kan 	 gunboat 	 military 
 sakushu 	 exploitation ; development 	 society 
 kyo_ikuka 	 educator ; pedagogue ; pedagog 	 profession 
 suisen 	 narcissus 	 plant 
 hafu 	 gable ; gable end ; gable wall 	
 keifu 	 genealogy ; family tree 	
 jo_hi 	 epidermis ; cuticle 	 biology 
 akunochimata 	 underworld 	 class 
 yurumeru 	 decelerate ; slow ; slow down ; slow up ; retard 	 decrease 
 tagaichigaini 	 alternate ; alternating 	
 kaitenshi 	 rotor ; rotor coil 	
 koseiteki 	 individual ; private 	 adjective 
 saiden 	 sanctuary 	 property 
 reianshitsu 	 morgue ; mortuary ; dead room 	 building 
 reisho_teki 	 sarcastic 	
 to_ki 	 ceramics 	
 arekuru_ 	 ramp ; rage ; storm 	 act 
 benpatsu 	 pigtail 	
 kobu 	 swelling ; puffiness ; lump 	 mechanical_engineering 
 tsukamu 	 grasp ; hold on 	 hold 
 hikakuteki 	 relatively ; comparatively 	
 rekishiteki 	 historical 	
 chitai 	 stupidity ; betise ; folly ; foolishness ; imbecility 	
 tanoshimi 	 enjoyment 	
 ippouteki 	 unilateral ; one-sided 	 economics 
 fukai 	 abstruse ; deep ; recondite 	
 sekken 	 parsimony ; parsimoniousness ; thrift ; penny-pinching 	
 kirai 	 dislike 	 feeling 
 ken'o 	 repugnance ; repulsion ; revulsion ; horror 	 mechanical_engineering 
 no_en 	 bewitching ; captivating ; enchanting ; enthralling ; entrancing ; fascinating 	
 kiwamarinai 	 boundless ; unbounded ; limitless 	
 okori 	 origin ; origination ; inception 	 economics 
 omoigakenai 	 unexpected 	
 to_go_ka 	 integration ; integrating ; desegregation 	 marketing 
 keisho_ 	 figure ; fig 	 object 
 fuju_jun 	 disobedience ; noncompliance 	 law 
 rokuna 	 satisfactory 	
 hyo_ 	 chart 	 mechanical_engineering 
 kafu 	 issue ; issuing ; issuance 	 supply 
 mattan 	 tip 	 end 
 shizuku 	 drip ; trickle ; dribble 	
 korasu 	 concentrate 	 change state 
 osenjokyo 	 decontamination 	
 shokuzenshu 	 aperitif 	
 iikikaseru 	 instruct 	 order 
 jiku 	 wording ; diction ; phrasing ; phraseology ; choice of words ; verbiage 	 linguistics 
 chu_sha 	 injection ; shot 	 health 
 sakuso_ 	 complication 	 medicine 
 kyohi 	 denial 	
 iishirenu 	 inexpressible ; unexpressible 	
 kako_ 	 envelop ; enfold ; enwrap ; wrap ; enclose 	 cover 
 bakuha 	 blast 	 military 
 seibunka 	 codification 	
 furieki 	 drawback 	
 kyu_shi 	 cessation ; surcease 	 stop 
 kosu 	 filter ; filtrate ; strain ; separate out ; filter out 	 physics 
 kannenron 	 idealism 	
 seigen 	 constraint ; restraint 	 logistics 
 ko_shi 	 lattice ; latticework ; fretwork 	
 kansho_ki 	 buffer ; fender 	 automobiles 
 tadashii 	 proper 	 descriptive_adjectives 
 kekkai 	 collapse ; prostration 	
 hageshii 	 intense 	 character 
 ko_hi 	 empress 	 woman 
 kurikaeshi 	 repeat ; repetition 	
 seirei 	 diligence 	
 sotchixyoku 	 candor ; candour ; candidness ; frankness ; directness ; forthrightness 	
 imin 	 emigrant ; emigre ; emigree ; outgoer 	
 rinko_ 	 phosphorescence 	 biology 
 tekisuru 	 suit ; accommodate ; fit 	 mathematics 
 tayori 	 reliance 	 character 
 do_yo_ 	 disturbance ; disruption ; commotion ; flutter ; hurly burly ; to-do ; hoo-ha ; hoo-hah ; kerfuffle 	 disorder 
 sekaiteki 	 global ; planetary ; world ; worldwide ; world-wide 	 descriptive_adjectives 
 iro 	 lecherousness ; lust ; lustfulness 	 sex 
 ganshu 	 carcinoma 	 medicine 
 iru 	 fry 	
 yurushi 	 exemption ; immunity ; granting immunity 	 discharge 
 ko_ho_ 	 promotion ; publicity ; promotional material ; packaging 	 career 
 gei 	 art ; artistry ; prowess 	
 mekkin 	 sterilization ; sterilisation 	 biology 
 mabataku 	 blink ; wink ; nictitate ; nictate 	
 inaka 	 countryside 	 country2 
 maneru 	 mimic ; mime 	
 idatsu 	 omission ; skip 	
 denjishaku 	 electromagnet 	 device 
 genkeishitsu 	 protoplasm ; living substance 	
 nenkibo_ko_ 	 apprenticeship 	 berth 
 shiori 	 bookmark ; bookmarker 	 computers 
 junka 	 acclimatization ; acclimatisation ; acclimation 	 chemistry 
 yunyu_gyo_sha 	 importer 	 business 
 keigen 	 suspension ; respite ; reprieve ; hiatus ; abatement 	 break 
 sho_kyaku 	 incineration 	
 jin'in 	 force ; personnel 	 accounting 
 zasshi 	 journal 	 literature 
 saitekika 	 optimization ; optimisation 	 mathematics 
 tatsu 	 discerp ; sever ; lop 	 cut 
 rippou 	 legislation ; legislating ; lawmaking 	 law 
 konponteki 	 basic 	 adjective 
 bunmyaku 	 context ; circumstance ; setting 	 linguistics 
 hodoyoi 	 proper 	 character 
 honki 	 seriousness ; earnestness ; serious-mindedness ; sincerity 	 character 
 banken 	 watchdog ; guard dog 	
 bunpouteki 	 grammatical ; grammatic 	 linguistics 
 seku 	 rush ; hasten ; hurry ; look sharp ; festinate 	 act 
 ketsuzento 	 resolute 	 character 
 so_ro 	 course 	 racing 
 shimideru 	 seep ; ooze 	 run 
 arasowarenai 	 undeniable 	
 ryo_yo_jo 	 sanatorium ; sanatarium ; sanitarium 	
 nagameru 	 see ; consider ; reckon ; view ; regard 	 verb 
 yure 	 shaking ; shakiness ; trembling ; quiver ; quivering ; vibration ; palpitation 	 health 
 chacha 	 break ; interruption ; disruption ; gap 	 electronics 
 kaioke 	 manger ; trough 	 agriculture 
 itsudatsu 	 deviation ; divergence ; departure ; difference 	 mathematics 
 hyo_gen 	 representation 	
 kyu_in 	 absorption ; soaking up 	 chemistry 
 atekosuri 	 insinuation ; innuendo 	
 biso 	 originator ; conceiver ; mastermind 	
 eiriteki 	 commercial 	 descriptive_adjectives 
 haru 	 tighten ; fasten 	 alter 
 dokutoku 	 characteristic 	 mathematics 
 sosho_ 	 litigation ; judicial proceeding 	 law 
 hachimentai 	 octahedron 	 geometry 
 kumogakure 	 disappearance ; disappearing 	
 to_ki 	 pottery ; clayware 	 art 
 sho_hyo_ 	 trademark 	 law 
 uppun 	 grudge ; score ; grievance 	 mechanical_engineering 
 hyo_shi 	 tempo ; pacing 	 music 
 shikiishi 	 pavement ; paving 	 construction 
 monshi 	 incisor 	 anatomy 
 jukurenshita 	 experienced ; experient 	
 monooshimi 	 stinginess 	 trait 
 bokushikan 	 parsonage ; vicarage ; rectory 	
 jinrikisha 	 jinrikisha ; ricksha ; rickshaw 	 transport 
 orikaeshi 	 lapel 	
 shinawake 	 assortment ; mixture ; mixed bag ; miscellany ; miscellanea ; variety ; salmagundi ; smorgasbord ; potpourri ; motley 	 art 
 ho_sha 	 borax 	 substance 
 kashin 	 vassal ; liege ; liegeman ; liege subject ; feudatory 	 history 
 sankyaku 	 tripod 	 device 
 koinu 	 puppy 	
 shu_do_in 	 convent 	 religion 
 bokujin 	 herder ; herdsman ; drover 	 profession 
 uzo_muzo_ 	 rabble ; riffraff ; ragtag ; ragtag and bobtail 	
 hakuchi 	 anchorage ; anchorage ground 	 area 
 ko_do_tai 	 zodiac 	 astronomy 
 zanshin 	 newness 	
 sharakusai 	 impertinent ; irreverent ; pert ; saucy 	
 sebameru 	 shrink ; reduce 	 decrease 
 go_i 	 consent 	 law 
 shako_teki 	 sociable 	
 ko_shin 	 renewal 	
 tatenaosu 	 rebuild ; reconstruct 	 make 
 okusetsu 	 speculation ; conjecture 	 mathematics 
 gakudo_ 	 schoolchild ; school-age child ; pupil 	 education 
 gakusha 	 scholar ; scholarly person ; bookman ; student 	 profession 
 do_kisei 	 schoolmate ; classmate ; schoolfellow ; class fellow 	
 uttae 	 lawsuit ; suit ; case ; cause ; causa 	 law 
 azukeru 	 deposit ; bank 	 economics 
 tachiagari 	 start ; starting 	 play 
 zetsubo_teki 	 despairing ; desperate 	
 geshukunin 	 lodger ; boarder ; roomer 	
 kamengeki 	 masquerade ; masquerade party ; masque ; mask 	 party 
 ansatsujiken 	 assassination 	
 hihei 	 pauperization ; pauperisation ; impoverishment 	
 niekiranai 	 indecisive 	
 ko_wa 	 discourse 	 literature 
 atezuiryo_ 	 guess ; guesswork ; guessing ; shot ; dead reckoning 	 accounting 
 takenokoisha 	 quack 	
 haikanko_ 	 plumber ; pipe fitter 	 profession 
 reikan 	 inspiration 	 religion 
 asseiteki 	 despotic ; despotical 	
 moroi 	 flimsy 	
 aridzuka 	 anthill ; formicary 	 world 
 enkyoku 	 indirect 	 manufacturing 
 keisanki 	 calculator ; reckoner ; figurer ; estimator ; computer 	 device 
 senzaiteki 	 latent 	
 tsumaranai 	 negligible ; paltry ; trifling 	
 yu_giteki 	 playful 	
 kosatsu 	 manslaughter 	 law 
 kinkei 	 foreground 	 art 
 hage 	 baldness ; phalacrosis 	
 botsugateki 	 altruistic ; selfless 	
 fujiyu_ 	 discomfort ; uncomfortableness 	 condition 
 machihazure 	 outskirts 	 section 
 yo_jinbukai 	 wary 	 descriptive_adjectives 
 ko_ma 	 colt 	
 hen'i 	 version ; variant ; variation ; edition 	 art 
 jogensha 	 counselor ; counsellor 	 profession 
 seion 	 tranquillity ; tranquility ; quietness ; quietude 	
 kyu_jo_ 	 distress 	
 dekigoto 	 incident 	
 o_to 	 vomit ; vomiting ; emesis ; regurgitation ; disgorgement ; puking 	 health 
 shibakusa 	 turf ; sod ; sward ; greensward 	 garden 
 jussaku 	 intrigue ; machination 	
 mimikuso 	 cerumen ; earwax 	
 kabegami 	 wallpaper 	
 hairyo 	 concern 	 abstract 
 renraku 	 junction ; conjunction ; conjugation ; colligation 	 linguistics 
 bokkateki 	 idyllic 	
 kaeru 	 replace 	 sports 
 tsuppaneru 	 reject ; spurn ; freeze off ; scorn ; pooh-pooh ; disdain ; turn down 	
 kamotsusen 	 bottom ; freighter ; merchantman ; merchant ship 	 transport 
 kenjin 	 stronghold ; fastness 	 mechanical_engineering 
 sakusan'en 	 acetate ; ethanoate 	 chemistry 
 shiso_ka 	 thinker 	
 kayumi 	 itch ; itchiness ; itching 	 medicine 
 shinpan'in 	 umpire ; ump 	
 shido 	 visibility ; visibleness 	 art 
 aikurushii 	 cunning ; cute 	
 kansho_ 	 intervention ; intercession 	 finance 
 shikan 	 chronicler 	
 aimaisa 	 ambiguity ; equivocalness 	 linguistics 
 sekijun 	 stalagmite 	
 cho_sei 	 regulation ; regulating 	 control 
 ryu_sei 	 meteor ; shooting star 	 light 
 kuwashii 	 detailed ; elaborate ; elaborated 	 fashion 
 tekkin 	 glockenspiel ; orchestral bells 	 music 
 kanmon 	 gateway 	
 kakuto_ 	 melee ; scrimmage ; battle royal 	
 fukameru 	 escalate ; intensify ; step up 	 increase 
 amimono 	 knit ; knitting ; knitwork 	 fashion 
 to_ryu_ 	 sojourn ; visit 	
 utagawashii 	 questionable 	
 bunsenko_ 	 compositor ; typesetter ; setter ; typographer 	 profession 
 shiomizu 	 seawater ; saltwater ; brine 	
 ganbari 	 endurance 	 character 
 doshigatai 	 incorrigible 	
 mo_cho_ 	 appendix ; vermiform appendix ; vermiform process ; cecal appendage 	 anatomy 
 tansei 	 striving ; nisus ; pains ; strain 	
 kanekashi 	 usurer ; loan shark ; moneylender ; shylock 	 profession 
 shu_do_in 	 religious residence ; cloister 	 religion 
 shu_sa 	 aberrance ; aberrancy ; aberration ; deviance 	 accounting 
 keijijo_ 	 criminal ; felonious 	 law 
 kaeru 	 convert 	 alter 
 darui 	 dull 	
 richi 	 mind ; intellect 	 psychology 
 katarai 	 chat ; confab ; confabulation ; schmooze ; schmoose 	
 sen 	 stopcock ; cock ; turncock 	 device 
 kurikosu 	 transfer 	 displace 
 hendo_ 	 fluctuation ; wavering 	
 tsuyappoi 	 coquettish ; flirtatious 	
 iwadana 	 ledge ; shelf 	 house 
 shinmai 	 newcomer ; fledgling ; fledgeling ; starter ; neophyte ; freshman ; newbie ; entrant 	
 hyo_junka 	 standardization ; standardisation ; normalization ; normalisation 	 logistics 
 chu_kai 	 mediation ; intermediation 	 real_estate 
 kajiru 	 nibble ; pick ; piece 	
 kyo_sasha 	 instigator ; initiator 	
 katei 	 course ; course of study ; course of instruction ; class 	 education 
 gunkokushugisha 	 militarist ; warmonger 	
 moho_sha 	 impersonator ; imitator 	
 araarashii 	 harsh ; rough 	
 kakinokosu 	 neglect ; pretermit ; omit ; drop ; miss ; leave out ; overlook ; overleap 	 logistics 
 jo_su_ 	 multiplier ; multiplier factor 	 mathematics 
 do_tei 	 designation ; identification 	 marketing 
 rimen 	 rear ; back 	
 kaitakusha 	 settler ; colonist 	
 shusaisha 	 patron ; sponsor ; supporter 	
 uwadzutsumi 	 wrapping ; wrap ; wrapper 	 transport 
 jiketsu 	 self-determination 	
 rui 	 genus 	 biology 
 kaizen 	 amelioration ; melioration ; betterment 	 linguistics 
 omoimoyoranai 	 unanticipated ; unforeseen ; unlooked-for ; out of the blue 	
 kaisai 	 exultation ; jubilance ; jubilancy ; jubilation 	
 fumanzoku 	 dissatisfaction 	
 sho_cho_teki 	 symbolic ; symbolical 	 art 
 oku 	 put 	 alter 
 tan'youhiko_ki 	 monoplane 	
 migoto 	 brilliant ; glorious ; magnificent ; splendid 	 descriptive_adjectives 
 cho_ba 	 twit ; taunt ; taunting 	
 bimi 	 dainty ; delicacy ; goody ; kickshaw ; treat 	
 bunkateki 	 cultural 	 career 
 kokugu_ 	 maltreatment ; ill-treatment ; ill-usage ; abuse 	 police 
 furimawasu 	 mistreat ; maltreat ; abuse ; ill-use ; step ; ill-treat 	 police 
 kakusei 	 awakening ; wakening ; waking up 	
 denkisakusha 	 biographer 	 profession 
 cho_tsuke 	 bookkeeper 	 profession 
 sho_kyaku 	 amortization ; amortisation 	 decrease 
 yukitsubute 	 snowball 	
 keisha 	 pitch ; rake ; slant 	 construction 
 tobiita 	 springboard 	
 yo_ho_ka 	 beekeeper ; apiarist ; apiculturist 	 profession 
 kujo_ 	 expostulation ; remonstrance ; remonstration ; objection 	 communication 
 kaso_ba 	 crematory ; crematorium 	
 majutsushi 	 conjurer ; conjuror ; conjure man 	
 yamuwoenai 	 ineluctable ; inescapable ; unavoidable 	
 kin 	 bacillus ; B 	 biology 
 shichihenkei 	 heptagon 	 geometry 
 seikakusa 	 exactness ; exactitude 	 mechanical_engineering 
 semushi 	 kyphosis ; humpback ; hunchback 	
 seigyoki 	 regulator 	 device 
 kannuki 	 latch 	 device 
 renrui 	 complicity 	
 shubetsu 	 categorization ; categorisation ; classification ; compartmentalization ; compartmentalisation ; assortment 	 grouping 
 ???? 	 cleric ; churchman ; divine ; ecclesiastic 	 history 
 komoriuta 	 lullaby ; cradlesong ; berceuse 	 music 
 cho_hatsu 	 aggravation ; irritation ; provocation 	
 bussha 	 Buddhist 	
 hijideppou 	 rejection 	 act 
 hosshin 	 rash ; roseola ; efflorescence ; skin rash 	 medicine 
 chissoku 	 suffocation ; asphyxiation 	
 iyashii 	 despicable ; ugly ; vile ; slimy ; unworthy ; worthless ; wretched 	 descriptive_adjectives 
 kinsen 	 cash ; hard cash ; hard currency 	 accounting 
 mudadzukai 	 waste ; wastefulness ; dissipation 	 activity 
 shu_sei 	 amendment 	 real_estate 
 chawan 	 teacup 	
 teii 	 orientation 	 direction 
 ko_han 	 extensive ; extended 	
 sorasu 	 deflect ; bend ; turn away 	 turn 
 kakki 	 liveliness ; life ; spirit ; sprightliness 	 art 
 kamifubuki 	 confetti 	
 kaihin 	 seaside ; seaboard 	
 kanzo_ 	 licorice ; liquorice 	
 shuyu 	 blink of an eye ; flash ; heartbeat ; instant ; jiffy ; split second ; trice ; twinkling ; wink ; New York minute 	 mechanical_engineering 
 gu 	 instrument ; tool 	 agency 
 ninmei 	 nomination 	
 yu_ben 	 eloquence ; fluency ; smoothness 	
 hari 	 arrow ; pointer 	 object 
 kyo_cho 	 collaboration ; coaction 	 art 
 haiben 	 defecation ; laxation ; shitting 	
 iwa 	 crag 	 geology 
 fu_kaku 	 personality 	 abstract 
 eisha 	 projection 	
 nanshoku 	 disapproval 	 content 
 jako_ 	 musk 	
 magirawasu 	 distract ; deflect 	
 toppa 	 breakthrough 	 military 
 yu_chi 	 attraction 	 physics 
 ko_kaku 	 demotion 	 change 
 mikon 	 wilderness ; wild 	
 to_atsusen 	 isobar 	 chemistry 
 enshi 	 hyperopia ; hypermetropia ; hypermetropy ; farsightedness ; longsightedness 	
 fukyo_ 	 depression ; slump ; economic crisis 	 marketing 
 hosho_kin 	 deposit 	 accounting 
 sho_so_ 	 restlessness ; impatience 	
 kaburimono 	 headdress ; headgear 	 wear 
 oshie 	 principle ; precept 	 rule 
 kiku 	 rule ; prescript 	 linguistics 
 hanadzura 	 muzzle 	
 hazumiguruma 	 flywheel 	 device 
 kyu_nan 	 salvage 	
 senzaiteki 	 potential ; possible 	
 edawakare 	 branching ; ramification ; fork ; forking 	 computers 
 hiketsu 	 negation 	 linguistics 
 ho_hisetsudan 	 circumcision 	 sex 
 karikata 	 debit ; debit entry 	 accounting 
 junzentaru 	 plain ; sheer ; unmingled ; unmixed 	
 mayowasu 	 intrigue ; fascinate 	
 nebaridzuyoi 	 diligent ; persevering 	 character 
 tanomoshii 	 hopeful 	 character 
 satogokoro 	 homesickness 	
 kagenteki 	 conjectural ; divinatory ; hypothetical ; hypothetic ; supposed ; suppositional ; suppositious ; supposititious 	
 nejiru 	 screw 	
 higesori 	 shave ; shaving 	 sex 
 seijuku 	 ripeness 	
 senpuku 	 incubation 	
 kazarike 	 affectation ; mannerism ; pose ; affectedness 	
 teisho_sha 	 advocate ; advocator ; proponent ; exponent 	 individual 
 sokusensho_ 	 embolism 	 medicine 
 shinkeinosurudoi 	 huffy ; thin-skinned ; feisty ; touchy 	
 onmitsu 	 privacy ; privateness ; secrecy ; concealment 	
 fukokoroe 	 indiscretion ; peccadillo 	
 hairu 	 banishment ; ostracism ; Coventry 	
 toriawaseru 	 assemble ; piece ; put together ; set up ; tack ; tack together 	 create 
 jikokuhyo_ 	 timetable 	
 aihan 	 discrepancy ; disagreement ; divergence ; variance 	 linguistics 
 wareme 	 rift 	 construction 
 ko_soku 	 infarct ; infarction 	 pathology 
 ryu_sandan 	 shrapnel 	 weapon 
 futo_ 	 disparity 	
 kentanka 	 glutton ; gourmand ; gourmandizer ; trencherman 	
 toriatsukai 	 handling 	
