 対 [たい] 	 against 	 preposition 
 爬虫類 	 reptile ; reptilian 	 animal 
 肉 	 flesh 	
 姿を消す 	 disappear ; vanish ; go away 	
 ロシア革命 	 Russian Revolution ; October Revolution 	
 クラブ 	 club ; social club ; society ; guild ; gild ; lodge ; order 	 society 
 原子炉 	 nuclear reactor ; reactor 	 device 
 アクティブ 	 active 	 character 
 バーリ 	 Bari 	 city 
 ラマダーン 	 Ramadan 	
 クロウタドリ 	 blackbird ; merl ; merle ; ouzel ; ousel ; European blackbird ; Turdus merula 	 animal 
 滑車 	 pulley ; pulley-block ; pulley block ; block 	 device 
 特殊相対性理論 	 special relativity ; special theory of relativity ; special relativity theory ; Einstein's special theory of relativity 	
 鷹 [たか] 	 falcon 	 animal 
 求める 	 expect ; look ; await ; wait 	 verb 
 胎児 	 embryo ; conceptus ; fertilized egg 	 creature 
 真核生物 	 eukaryote ; eucaryote 	 being 
 Web ページ 	 web page ; webpage 	
 起こす 	 awaken ; wake ; waken ; rouse ; wake up ; arouse 	 alter 
 アクラ 	 Accra ; capital of Ghana 	 capital_city 
 商品 	 commodity ; trade good ; good 	 transport 
 奇妙 [きみょう] 	 curious 	 descriptive_adjectives 
 1760年代 	 1760s 	
 モリーゼ州 	 Molise 	
 粉体 [ふんたい] 	 powder 	 medication 
 罠 [わな] 	 trap ; snare 	 device 
 教訓 	 lesson 	
 ジョン・ドルトン 	 Dalton ; John Dalton 	 person 
 恥 [はじ] 	 shame 	 feeling 
 灌漑 	 irrigation 	 agriculture 
 隕石 	 meteorite 	 astronomy 
 歩兵 	 infantry ; foot 	 military 
 湾 	 gulf 	
 招待する 	 invite ; ask over ; ask round 	
 練習 	 training ; preparation ; grooming 	 abstract 
 金輪際 [こんりんざい] 	 never ; ne'er 	
 時代 	 historic period ; age 	 time 
 実際に 	 actually ; really 	 adverb 
 フェリペ2世 	 Philip II ; Philip II of Spain 	 person 
 1780年代 	 1780s 	
 1870年代 	 1870s 	
 猿 	 ape 	 animal 
 クリーム 	 cream 	
 壇 [だん] 	 dais ; podium ; pulpit ; rostrum ; ambo ; stump ; soapbox 	 architecture 
 カンパラ 	 Kampala ; capital of Uganda 	 capital_city 
 マーティン・ヴァン・ビューレン 	 Van Buren ; Martin Van Buren ; President Van Buren 	 person 
 ポストモダニズム 	 postmodernism 	
 1880年代 	 eighties ; 1880s 	
 ツチブタ 	 aardvark ; ant bear ; anteater ; Orycteropus afer 	 animal 
 一片 	 piece 	 object 
 断わる 	 refuse ; reject ; pass up ; turn down ; decline 	 verb 
 パイプ 	 pipe ; tobacco pipe 	 object 
 外国人 	 foreigner ; alien ; noncitizen ; outlander 	
 ジェームズ・プレスコット・ジュール 	 Joule ; James Prescott Joule 	 person 
 炭 	 charcoal ; wood coal 	 substance 
 命令 	 command ; bid ; bidding ; dictation 	 computers 
 カール・グスタフ・ユング 	 Jung ; Carl Jung ; Carl Gustav Jung 	 person 
 グレープフルーツ 	 grapefruit 	 fruit 
 グスタフ・クリムト 	 Klimt ; Gustav Klimt 	 person 
 アメリゴ・ヴェスプッチ 	 Vespucci ; Amerigo Vespucci ; Americus Vespucius 	 person 
 ユスティニアヌス1世 	 Justinian ; Justinian I ; Justinian the Great 	
 フェンネル 	 fennel 	 herb 
 相対性理論 	 principle of relativity 	 physics 
 スプリト 	 Split 	
 ナプキン 	 napkin ; table napkin ; serviette 	 food 
 危機 	 crisis 	 situation 
 サッポー 	 Sappho 	
 再生利用 [さいせいりよう] 	 recycling 	 economics 
 アルチュール・ランボー 	 Rimbaud ; Arthur Rimbaud ; Jean Nicholas Arthur Rimbaud 	 person 
 障壁 	 barrier 	 construction 
 トマス・モア 	 More ; Thomas More ; Sir Thomas More 	
 ステーキ 	 steak 	 cooking 
 写真 	 photograph ; photo ; exposure ; picture ; pic 	 object 
 沼地 	 swamp ; swampland 	 nature 
 ネプツニウム 	 neptunium ; Np ; atomic number 93 	 chemistry 
 ベーコン 	 bacon 	 meat 
 イワン・パブロフ 	 Pavlov ; Ivan Pavlov ; Ivan Petrovich Pavlov 	 person 
 フェルミウム 	 fermium ; Fm ; atomic number 100 	 chemistry 
 示す 	 show ; demo ; exhibit ; present ; demonstrate 	 verb 
 フランシス・ベーコン 	 Bacon ; Francis Bacon ; Sir Francis Bacon ; Baron Verulam ; 1st Baron Verulam ; Viscount St. Albans 	 person 
 自由の女神像 	 Statue of Liberty 	
 ネアンデルタール人 	 Neandertal man ; Neanderthal man ; Neandertal ; Neanderthal ; Homo sapiens neanderthalensis 	 man 
 チョッキ 	 vest ; waistcoat 	 clothes 
 アナクサゴラス 	 Anaxagoras 	
 強欲 	 avarice ; greed ; covetousness ; rapacity ; avaritia 	
 競技場 	 stadium ; bowl ; arena ; sports stadium 	 structure 
 ウィリアム・ブレイク 	 Blake ; William Blake 	 person 
 サンドロ・ボッティチェッリ 	 Botticelli ; Sandro Botticelli ; Alessandro di Mariano dei Filipepi 	 person 
 ルイス・キャロル 	 Carroll ; Lewis Carroll ; Dodgson ; Reverend Dodgson ; Charles Dodgson ; Charles Lutwidge Dodgson 	 person 
 捕虜 	 prisoner ; captive 	 military 
 札入れ 	 wallet ; billfold ; notecase ; pocketbook 	 clothes 
 J・D・サリンジャー 	 Salinger ; J. D. Salinger ; Jerome David Salinger 	
 オイディプス 	 Oedipus ; King Oedipus ; Oedipus Rex 	 mythology 
 トリニトロトルエン 	 TNT ; trinitrotoluene 	
 管 	 tube ; tubing 	 construction 
 トロンボーン 	 trombone 	 music 
 一角獣 	 unicorn 	 mythology 
 ねじ回し 	 screwdriver 	 object 
 エドヴァルド・グリーグ 	 Grieg ; Edvard Grieg ; Edvard Hagerup Grieg 	 person 
 ウィリアム・ハリソン 	 Harrison ; William Henry Harrison ; President Harrison ; President William Henry Harrison 	 person 
 親衛隊 	 Schutzstaffel ; SS 	
 ガーフィールド 	 Garfield ; James Garfield ; James A. Garfield ; James Abraham Garfield ; President Garfield 	 person 
 息遣い [いきづかい] 	 respiration ; internal respiration ; cellular respiration 	 biology 
 ヘーシオドス 	 Hesiod 	
 エドウィン・ハッブル 	 Hubble ; Edwin Hubble ; Edwin Powell Hubble 	 person 
 サンダル 	 sandal 	 clothes 
 待つ 	 wait ; hold off ; hold back 	 verb 
 袋 [ふくろ] 	 sack ; poke ; paper bag ; carrier bag 	 construction 
 カルビン・クーリッジ 	 Coolidge ; Calvin Coolidge ; President Coolidge 	 person 
 絶対 [ぜったい] 	 absolute 	
 生涯 	 life ; lifetime ; life-time ; lifespan 	 time 
 催眠 	 hypnosis 	
 グロバー・クリーブランド 	 Cleveland ; Grover Cleveland ; Stephen Grover Cleveland ; President Cleveland 	 person 
 苦痛 	 agony ; torment ; torture 	 hurt 
 韻 	 rhyme ; rime 	 linguistics 
 シロップ 	 syrup ; sirup 	 health 
 スリッパ 	 slipper ; carpet slipper 	
 レゲエ 	 reggae 	 music 
 ジョン・スチュアート・ミル 	 Mill ; John Mill ; John Stuart Mill 	 person 
 較べる 	 compare 	 verb 
 起こる 	 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 verb 
 膿瘍 [のうよう] 	 abscess 	 medicine 
 三重水素 	 tritium 	 chemistry 
 異性体 [いせいたい] 	 isomer 	 chemical compound 
 居住地 	 colony ; settlement 	 ecology 
 納屋 	 barn 	 agriculture 
 包帯 	 bandage ; patch 	
 積荷 	 cargo ; lading ; freight ; load ; loading ; payload ; shipment ; consignment 	 transport 
 ミシシッピ川 	 Mississippi ; Mississippi River 	
 ジフテリア 	 diphtheria 	 medicine 
 阿る [おもねる] 	 flatter ; blandish 	
 選手権 	 championship ; title 	 sports 
 争い 	 dispute ; difference ; difference of opinion ; conflict 	 psychology 
 抗体 	 antibody 	 medicine 
 渇望 	 thirst ; thirstiness 	
 流刑 [るけい] 	 exile ; deportation ; expatriation ; transportation 	
 スキャナ 	 scanner ; digital scanner ; image scanner 	 device 
 プラセオジム 	 praseodymium ; Pr ; atomic number 59 	 chemistry 
 霜 	 frost ; hoar ; hoarfrost ; rime 	 nature 
 キュリウム 	 curium ; Cm ; atomic number 96 	 chemistry 
 ガドリニウム 	 gadolinium ; Gd ; atomic number 64 	 chemistry 
 ヨーテボリ 	 Goteborg ; Goeteborg ; Gothenburg 	 city 
 音韻 [おんいん] 	 phoneme 	 linguistics 
 レニウム 	 rhenium ; Re ; atomic number 75 	 chemistry 
 ヒトコブラクダ 	 Arabian camel ; dromedary ; Camelus dromedarius 	 animal 
 タンガニーカ 	 Lake Tanganyika ; Tanganyika 	
 脅威 	 menace ; threat 	 ecology 
 逸話 	 anecdote 	 literature 
 水差し 	 jug 	
 分隊 	 team ; squad 	 society 
 オデュッセウス 	 Odysseus 	 mythology 
 心臓の鼓動 	 pulse ; pulsation ; heartbeat ; beat 	 medicine 
 片口鰯 [かたくちいわし] 	 anchovy 	 animal 
 ラベンダー 	 lavender 	 botany 
 鉱石 	 ore 	 mineral 
 暴行 	 rape ; violation ; assault ; ravishment 	 law 
 バレンタインデー 	 Valentine Day ; Valentine's Day ; Saint Valentine's Day ; St Valentine's Day ; February 14 	
 アイスキュロス 	 Aeschylus 	
 原核生物 	 prokaryote ; procaryote 	 being 
 口論 	 quarrel ; wrangle ; row ; words ; run-in ; dustup 	 mechanical_engineering 
 蔦 [つた] 	 ivy ; common ivy ; English ivy ; Hedera helix 	 plant 
 ポプラ 	 poplar ; poplar tree 	 flowering tree 
 コルセット 	 corset ; girdle ; stays 	 sex 
 施し 	 alms 	
 ゆり 	 lily 	 botany 
 リーキ 	 leek ; scallion ; Allium porrum 	 food 
 マルハナバチ属 	 bumblebee ; humblebee 	 animal 
 蓋 [ふた] 	 lid 	 object 
 ガンマ線 	 gamma radiation ; gamma ray 	
 ジェームズ・ワット 	 Watt ; James Watt 	 person 
 ハーバート・ジョージ・ウェルズ 	 Wells ; H. G. Wells ; Herbert George Wells 	 person 
 LED 	 light-emitting diode ; LED 	 computers 
 大嵐 	 tempest 	 nature 
 台風 	 typhoon 	 nature 
 幸運 	 luck ; fortune ; chance ; hazard 	
 スペクトル 	 spectrum 	 art 
 はしご 	 ladder 	 house 
 復しゅう 	 retaliation ; revenge 	
 ゴルフ 	 golf ; golf game 	 travelling 
 超音波 	 ultrasound 	 health 
 鳴く [なく] 	 bark 	 emit 
 チェロ 	 cello ; violoncello 	 music 
 型 	 type 	 abstract 
 プロトアクチニウム 	 protactinium ; protoactinium ; Pa ; atomic number 91 	 chemistry 
 種 	 species 	 nature 
 御互い [おたがい] 	 reciprocal ; mutual 	 linguistics 
 ブドウ 	 grape ; grapevine ; grape vine 	 fruit 
 ツリウム 	 thulium ; Tm ; atomic number 69 	 chemistry 
 崖 [がけ] 	 cliff ; drop ; drop-off 	 world 
 夕食 	 supper 	
 遺産 	 inheritance ; heritage 	 genetics 
 短刀 	 dagger ; sticker 	 weapon 
 カンデラ 	 candle ; candela ; cd ; standard candle 	 mechanical_engineering 
 メンデレビウム 	 mendelevium ; Md ; Mv ; atomic number 101 	 chemical element 
 畜殺場 	 abattoir ; butchery ; shambles ; slaughterhouse 	 agriculture 
 オーギュスト・ロダン 	 Rodin ; Auguste Rodin ; Francois Auguste Rene Rodin 	 person 
 接点 	 contact 	 electronics 
 逆説 	 paradox 	
 集合論 	 set theory 	 mathematics 
 評議会 	 council 	 society 
 バンジュール 	 Banjul ; capital of Gambia 	 capital_city 
 カウナス 	 Kaunas ; Kovna ; Kovno 	 city 
 役 	 character ; role ; theatrical role ; part ; persona 	 career 
 研究所 	 institute 	
 共産主義 	 communism 	
 批評 	 remark ; comment ; input 	 computers 
 血液学 	 hematology ; haematology 	
 アラビア半島 	 Arabian Peninsula ; Arabia 	
 明らか [あきらか] 	 apparent ; evident ; manifest ; patent ; plain ; unmistakable 	 logistics 
 辛うじて [かろうじて] 	 barely ; hardly ; just ; scarcely ; scarce 	
 ヨハネスブルグ 	 Johannesburg 	
 ブルックリン区 	 Brooklyn 	
 ドブニウム 	 dubnium ; Db ; hahnium ; element 105 ; atomic number 105 	 chemical element 
 ニューイングランド 	 New England 	
 柱 	 column ; pillar 	 architecture 
 安楽死 	 euthanasia ; mercy killing 	
 ビスケット 	 cookie ; cooky ; biscuit 	 food 
 嘘 	 lie ; prevarication 	 communication 
 孫息子 [まごむすこ] 	 grandson 	 family 
 ポイント 	 point 	 mathematics 
 ハンザ同盟 	 Hanseatic League 	
 見本 	 sample 	 management 
 誂え向き [あつらえむき] 	 ideal 	 mathematics 
 風刺画 	 caricature ; imitation ; impersonation 	 literature 
 ガマール・アブドゥン＝ナーセル 	 Nasser ; Gamal Abdel Nasser 	 person 
 ヌナブト準州 	 Nunavut 	
 長の [ながの] 	 ageless ; aeonian ; eonian ; eternal ; everlasting ; perpetual ; unending ; unceasing 	 religion 
 歌手 	 singer ; vocalist ; vocalizer ; vocaliser 	 profession 
 西オーストラリア州 	 Western Australia 	
 法令 	 decree ; edict ; fiat ; order ; rescript 	 act 
 問題 	 matter ; affair ; thing 	 abstract 
 故国 	 fatherland ; homeland ; motherland ; mother country ; country of origin ; native land 	 country2 
 ピサ 	 Pisa 	 city 
 モラヴィア 	 Moravia 	
 アメリカンフットボール 	 American football ; American football game 	
 地獄 	 hell ; hell on earth ; hellhole ; snake pit ; the pits ; inferno 	 part 
 タルムード 	 Talmud 	
 村 	 village ; hamlet 	 society 
 マハーバーラタ 	 Mahabharata ; Mahabharatam ; Mahabharatum 	
 表題 	 title 	 society 
 ポルト 	 Porto ; Oporto 	 city 
 赤経 	 right ascension ; RA ; celestial longitude 	 astronomy 
 経度 	 longitude 	 transport 
 フリウリ＝ヴェネツィア・ジュリア州 	 Friuli-Venezia Giulia 	
 ゲーム理論 	 game theory ; theory of games 	 mathematics 
 ノースウエスト準州 	 Northwest Territories 	
 シッティング・ブル 	 Sitting Bull 	 person 
 記事 [きじ] 	 report ; news report ; story ; account ; write up 	 logistics 
 面白い 	 amusing ; comic ; comical ; funny ; laughable ; mirthful ; risible 	 descriptive_adjectives 
 マンハイム 	 Mannheim 	 city 
 宴会 	 banquet ; feast 	 history 
 どこでも 	 everywhere ; everyplace ; all over 	
 雑誌 	 magazine ; mag 	 object 
 ドミティアヌス 	 Domitian ; Titus Flavius Domitianus 	
 遊戯 [ゆうぎ] 	 gambling ; gaming ; play 	
 展示会 	 exhibition ; exposition ; expo 	 accumulation 
 アスマラ 	 Asmara ; Asmera 	
 運動エネルギー 	 kinetic energy ; K.E. 	 physics 
 ネットワーク 	 network ; web 	 electronics 
 船長 	 captain 	 military 
 イエズス会 	 Society of Jesus ; Jesuit order 	 order 
 消費者 	 consumer 	 ecology 
 記号学 	 semiotics ; semiology 	 linguistics 
 アメリカ合衆国議会 	 Congress ; United States Congress ; U.S. Congress ; US Congress 	
 微生物 	 microbe ; bug ; germ 	 biology 
 スパイ行為 	 espionage 	
 雀蜂 [すずめばち] 	 wasp 	 animal 
 勇気 	 courage ; courageousness ; bravery ; braveness 	 character 
 欠点 	 defect ; fault ; flaw 	 management 
 ドワーフ 	 gnome ; dwarf 	 mythology 
 隔離 	 quarantine 	
 スキー 	 skiing 	 fitness 
 群衆 	 crowd 	 assemblage 
 ガブリエル 	 Gabriel 	
 硬さ 	 hardness 	 mechanical_engineering 
 大人 	 adult ; grownup 	 family 
 サタン 	 Satan ; Old Nick ; Devil ; Lucifer ; Beelzebub ; the Tempter ; Prince of Darkness 	
 植民地 	 colonialism 	
 例証 	 illustration 	 art 
 頭足類 	 cephalopod ; cephalopod mollusk 	 animal 
 著者 	 generator ; source ; author 	 profession 
 審判員 [しんぱんいん] 	 referee ; ref 	 profession 
 タブー 	 taboo ; tabu 	 sex 
 ファラオ 	 Pharaoh ; Pharaoh of Egypt 	
 警察官 	 policeman ; police officer ; officer 	 profession 
 アンリ・マティス 	 Matisse ; Henri Matisse ; Henri Emile Benoit Matisse 	 person 
 出来物 [できもの] 	 tumor ; tumour ; neoplasm 	 medicine 
 鉱夫 	 miner ; mineworker 	 profession 
 おおいぬ座 	 Canis Major ; Great Dog 	 constellation 
 ダライ・ラマ 	 Dalai Lama ; Grand Lama 	
 アーサー・ミラー 	 Miller ; Arthur Miller 	 person 
 鳥類学 	 ornithology 	 ornithology 
 聖職者 	 curate ; minister of religion ; minister ; parson ; pastor ; rector 	 profession 
 仙人掌 [さぼてん] 	 cactus 	 plant 
 弟子 	 disciple ; adherent 	 religion 
 表現主義 	 expressionism 	
 公爵 	 duke 	
 敵 	 adversary ; antagonist ; opponent ; opposer ; resister 	 individual 
 器官 	 organ 	 anatomy 
 義務 [ぎむ] 	 duty ; responsibility ; obligation 	 accounting 
 学ぶ 	 study 	 verb 
 大動脈 [だいどうみゃく] 	 aorta 	 anatomy 
 やぎ座 	 Capricornus ; Capricorn 	 constellation 
 W 	 W ; w ; double-u 	 alphabetic character 
 立法機関 	 legislature ; legislative assembly ; legislative body ; general assembly ; law-makers 	
 小冊子 	 booklet ; brochure ; folder ; leaflet ; pamphlet 	 travelling 
 ローン 	 loan 	 accounting 
 ガンジス川 	 Ganges ; Ganges River 	
 辛気臭い [しんきくさい] 	 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 adjective 
 ハラレ 	 Harare ; Salisbury ; capital of Zimbabwe 	 capital_city 
 ハプスブルク家 	 Habsburg ; Hapsburg 	
 オースティン 	 Austin ; capital of Texas 	 capital_city 
 廻文 [かいぶん] 	 palindrome 	 linguistics 
 バレンツ海 	 Barents Sea 	
 赤血球 	 red blood cell ; RBC ; erythrocyte 	
 リボソーム 	 ribosome 	 biology 
 岩礁 	 reef 	 nature 
 脂っ濃い [あぶらっこい] 	 greasy ; oily ; sebaceous ; oleaginous 	
 穴 	 pit ; cavity 	
 時々 	 sometimes 	 adverb 
 準星 	 quasar ; quasi-stellar radio source 	 astronomy 
 サンディエゴ 	 San Diego 	
 年表 	 chronology 	 literature 
 さそり座 	 Scorpius ; Scorpio 	 constellation 
 日本海 	 Sea of Japan ; East Sea 	
 チグリス川 	 Tigris ; Tigris River 	
 クセノパネス 	 Xenophanes 	
 こぐま座 	 Little Bear ; Ursa Minor 	 constellation 
 原子核 	 nucleus 	 linguistics 
 日没 	 sunset ; sundown 	 nature 
 機械工学 	 mechanical engineering 	
 曲げる 	 bend ; flex 	 mechanical_engineering 
 ジスプロシウム 	 dysprosium ; Dy ; atomic number 66 	 chemistry 
 沼地 	 marsh ; marshland ; fen ; fenland 	 nature 
 破裂 	 explosion ; burst 	 astronomy 
 ヘモグロビン 	 hemoglobin ; haemoglobin ; Hb 	
 1890年代 	 nineties ; 1890s 	
 循環 	 cycle ; rhythm ; round 	 mathematics 
 大虐殺 	 slaughter ; massacre ; mass murder ; carnage ; butchery 	 military 
 ロザリオ 	 rosary ; prayer beads 	 religion 
 減法 	 subtraction ; minus 	 mathematics 
 永遠 	 eternity ; infinity 	
 砂岩 	 sandstone 	 geology 
 鷹 	 hawk 	 animal 
 鉱石 [こうせき] 	 crystal 	 physics 
 1750年代 	 1750s 	
 ゴム 	 rubber ; natural rubber ; India rubber ; gum elastic ; caoutchouc 	 mechanical_engineering 
 牝馬 [ひんば] 	 mare ; female horse 	
 郵便番号 	 ZIP code ; ZIP ; postcode ; postal code 	
 1850年代 	 1850s 	
 香 	 incense 	 chemical compound 
 人懐っこい [ひとなつっこい] 	 affable ; amiable ; cordial ; genial 	 character 
 マガモ 	 mallard ; Anas platyrhynchos 	 animal 
 温室 	 greenhouse ; nursery ; glasshouse 	 house 
 キク科 	 Compositae ; family Compositae ; Asteraceae ; family Asteraceae ; aster family 	
 机 	 desk 	 house 
 ウィリアム・バトラー・イェイツ 	 Yeats ; William Butler Yeats ; W. B. Yeats 	 person 
 木琴 	 marimba ; xylophone 	 music 
 取って来る 	 bring ; get ; convey ; fetch 	 channel 
 怒り 	 wrath ; anger ; ire ; ira 	
 肥料 	 manure 	 agriculture 
 回す [まわす] 	 revolve ; go around ; rotate 	 turn 
 口紅 	 lipstick ; lip rouge 	
 貨幣学 	 numismatics ; numismatology ; coin collecting ; coin collection 	 aggregation 
 隅 [すみ] 	 corner ; nook 	 area 
 lsd 	 lysergic acid diethylamide ; LSD 	
 タイム 	 thyme 	
 K2 	 K2 ; Godwin Austen ; Mount Godwin Austen ; Dapsang 	
 1820年代 	 1820s 	
 フランク・ロイド・ライト 	 Wright ; Frank Lloyd Wright 	 person 
 オストラヴァ 	 Ostrava 	
 警笛 	 horn 	
 コレステロール 	 cholesterol ; cholesterin 	 medicine 
 レタス 	 lettuce 	 herb 
 出口 	 exit ; issue ; outlet ; way out 	
 砂糖黍 [さとうきび] 	 sugarcane ; sugar cane ; Saccharum officinarum 	
 カフカス 	 Caucasus ; Caucasus Mountains 	
 原理主義 	 fundamentalism 	
 アイスクリーム 	 ice cream ; icecream 	
 着物 	 kimono 	
 出エジプト記 	 Exodus ; Book of Exodus 	
 モミ属 	 fir ; fir tree ; true fir 	 coniferous tree 
 ジープ 	 jeep ; landrover 	 machine 
 踊る 	 dance ; trip the light fantastic ; trip the light fantastic toe 	 verb 
 ピエロ 	 clown ; buffoon ; goof ; goofball ; merry andrew 	 profession 
 ペリクレス 	 Pericles 	
 入れる [いれる] 	 accept ; admit ; take ; take on 	 have 
 素直 [すなお] 	 obedient 	 descriptive_adjectives 
 嫌悪 	 antipathy ; aversion ; distaste 	 mechanical_engineering 
 セルゲイ・ラフマニノフ 	 Rachmaninoff ; Sergei Rachmaninoff ; Sergei Vasilievich Rachmaninoff ; Rachmaninov ; Sergei Rachmaninov ; Sergei Vasilievich Rachmaninov 	 person 
 鳴る [なる] 	 sound 	 physics 
 得る 	 acquire ; win ; gain 	 get 
 ジェームズ・ポーク 	 Polk ; James Polk ; James K. Polk ; James Knox Polk ; President Polk 	 person 
 失う 	 lose 	 verb 
 フローレンス・ナイチンゲール 	 Nightingale ; Florence Nightingale ; Lady with the Lamp 	 person 
 羊皮紙 	 parchment ; sheepskin ; lambskin 	
 ベンジャミン・フランクリン 	 Franklin ; Benjamin Franklin 	 person 
 物理化学 	 physical chemistry 	
 ペダル 	 pedal ; treadle ; foot pedal ; foot lever 	
 クイーンズランド州 	 Queensland 	
 見つける 	 find ; regain 	 verb 
 南京虫 [なんきんむし] 	 bedbug ; bed bug ; chinch ; Cimex lectularius 	 animal 
 隣人 	 neighbor ; neighbour 	 family 
 ウィリアム・H・タフト 	 Taft ; William Howard Taft ; President Taft 	 person 
 生物多様性 	 biodiversity 	 nature 
 メアリー・シェリー 	 Shelley ; Mary Shelley ; Mary Wollstonecraft Shelley ; Mary Godwin Wollstonecraft Shelley 	 person 
 触角 	 antenna ; feeler 	
 レトリック 	 rhetoric 	 literature 
 ソロモン王 	 Solomon 	 religion 
 ライター 	 lighter ; light ; igniter ; ignitor 	 device 
 ブラム・ストーカー 	 Stoker ; Bram Stoker ; Abraham Stoker 	 person 
 ピーテル・パウル・ルーベンス 	 Rubens ; Peter Paul Rubens ; Sir Peter Paul Rubens 	 person 
 略語 	 abbreviation 	 linguistics 
 受取る 	 receive ; have 	 verb 
 ホーチミン市 	 Ho Chi Minh City ; Saigon 	 city 
 楽器 	 musical instrument ; instrument 	 device 
 マーティン・スコセッシ 	 Scorsese ; Martin Scorsese 	
 キガリ 	 Kigali ; capital of Rwanda 	 capital_city 
 ジュゼッペ・ガリバルディ 	 Garibaldi ; Giuseppe Garibaldi 	 person 
 欧州中央銀行 	 European Central Bank 	
 葬式 	 funeral 	
 拍手喝采 [はくしゅかっさい] 	 applause ; hand clapping ; clapping 	
 オッカムの剃刀 	 Occam's Razor ; Ockham's Razor ; principle of parsimony ; law of parsimony 	 rule 
 ピサの斜塔 	 Leaning Tower ; Leaning Tower of Pisa 	
 多妻 [たさい] 	 polygamy 	 sex 
 経済 	 economy ; economic system 	 business 
 埋める [うめる] 	 bury ; entomb ; inhume ; inter ; lay to rest 	 lay 
 連隊 	 regiment 	 military 
 ゴマ 	 sesame ; benne ; benni ; benny ; Sesamum indicum 	 botany 
 扨 [さて] 	 now 	 time 
 半球 	 hemisphere 	 astronomy 
 徴 [しるし] 	 sign ; mark 	 linguistics 
 国境 	 frontier 	 transport 
 地帯 [ちたい] 	 area ; country 	 mathematics 
 アルベド 	 albedo ; reflective power 	 astronomy 
 樽 [たる] 	 barrel ; cask 	 mechanical_engineering 
 プランクトン 	 plankton 	 nature 
 エラトステネス 	 Eratosthenes 	
 銃剣 	 bayonet 	 military 
 ヘスティアー 	 Hestia 	 mythology 
 リュックサック 	 backpack ; back pack ; knapsack ; packsack ; rucksack ; haversack 	 clothes 
 アイドル 	 paragon ; idol ; perfection ; beau ideal 	
 バジリコ 	 basil 	 herb 
 崖崩れ [がけくずれ] 	 landslide ; landslip 	 geology 
 星条旗 	 The Star-Spangled Banner 	
 打ちまける [ぶちまける] 	 confess ; squeal ; fink 	
 ブレスト 	 Brest 	 city 
 ネルウァ 	 Nerva ; Marcus Cocceius Nerva 	
 船室 	 cabin 	
 イースト 	 yeast ; barm 	 substance 
 寝室 	 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 house 
 会合 	 meeting ; group meeting 	 assemblage 
 星占い 	 horoscope 	
 破傷風 	 tetanus ; lockjaw 	 medicine 
 イスパニョーラ島 	 Hispaniola ; Haiti ; Hayti 	
 寄生虫 [きせいちゅう] 	 parasite 	 nature 
 暦 [こよみ] 	 almanac 	 literature 
 コロンボ 	 Colombo ; capital of Sri Lanka 	 capital_city 
 ヴァルナ 	 Varna 	
 勇敢 	 heroism ; gallantry ; valor ; valour ; valorousness ; valiance ; valiancy 	 history 
 自叙伝 	 autobiography 	 literature 
 結び付ける 	 connect ; link ; tie ; link up 	 computers 
 準備 	 preparation ; readying 	 activity 
 決める 	 decide ; make up one's mind ; determine 	 verb 
 ペンネーム 	 pseudonym ; anonym ; nom de guerre 	 linguistics 
 政治家 	 politician ; politico ; pol ; political leader 	 profession 
 詩 	 poem ; verse form 	 art 
 在庫 	 store ; stock ; fund 	 transport 
 えら 	 gill ; branchia 	 anatomy 
 マナグア 	 Managua ; capital of Nicaragua ; Nicaraguan capital 	 capital_city 
 人間的 [にんげんてき] 	 human 	 adjective 
 挿話 	 episode 	 section 
 内モンゴル自治区 	 Inner Mongolia ; Nei Monggol 	
 カモノハシ目 	 monotreme ; egg-laying mammal 	 animal 
 二倍 [にばい] 	 double ; doubled ; twofold ; two-fold 	
 ボビー・フィッシャー 	 Fischer ; Bobby Fischer ; Robert James Fischer 	
 ファラド 	 farad ; F 	 electronics 
 恐ろしい 	 awful ; dire ; direful ; dread ; dreaded ; dreadful ; fearful ; fearsome ; frightening ; horrendous ; horrific ; terrible 	
 子午線 	 meridian ; line of longitude 	 astronomy 
 画く [えがく] 	 describe ; depict ; draw 	 verb 
 3 	 three ; 3 ; III ; trio ; threesome ; tierce ; leash ; troika ; triad ; trine ; trinity ; ternary ; ternion ; triplet ; tercet ; terzetto ; trey ; deuce-ace 	 mathematics 
 黄道 	 ecliptic 	 astronomy 
 免許 	 license ; licence ; permit 	 accounting 
 助成金 	 subsidy 	 accounting 
 熱帯 	 Torrid Zone ; tropical zone ; tropics 	
 ホノルル 	 Honolulu ; capital of Hawaii ; Hawaiian capital 	 capital_city 
 献立 [こんだて] 	 menu ; bill of fare ; card ; carte du jour ; carte 	 object 
 γ 	 gamma 	 mathematics 
 蒸留 [じょうりゅう] 	 distillation ; distillment 	 action 
 ヤード 	 yard ; pace 	 real_estate 
 航空工学 	 aeronautics ; astronautics 	
 免状 	 diploma ; sheepskin 	 career 
 肖像画 	 portrayal ; portraiture ; portrait 	 art 
 ラムセス2世 	 Rameses II ; Ramesses II ; Ramses II ; Rameses the Great ; Ramesses the Great ; Ramses the Great 	
